station_id	name	altitude	lat	lon	country
ARM00087320	Chamical Aero	461	-30.36700058	-66.28299713	Argentina
UY000086330	Est.Met.Artigas	121	-30.39999962	-56.52000046	Uruguay
UYM00086350	Presidente General Don Oscar	223	-30.97500038	-55.47600174	Uruguay
ARM00087395	Comodoro Pierrestegui	34	-31.29700089	-57.99700165	Argentina
AR000087344	Cordoba Aero	489	-31.31699944	-64.21700287	Argentina
UY000086360	Salto	33	-31.43300056	-57.96699905	Uruguay
ARM00087311	San Juan	597	-31.57099915	-68.41799927	Argentina
ARM00087349	Pilar Observatorio	338	-31.66699982	-63.88299942	Argentina
UY000001405	Tacuarembo	134	-31.70000076	-55.98300171	Uruguay
AR000087374	Parana Aero	74	-31.78300095	-60.48300171	Argentina
ARM00087328	Villa Dolores	584	-31.94499969	-65.14600372	Argentina
UY000086430	Paysandu	61	-32.33300018	-58.03300095	Uruguay
UY000001709	Melo	100	-32.34999847	-54.18299866	Uruguay
UY000001856	Young	80	-32.68299866	-57.63299942	Uruguay
ARM00087467	Marcos Juarez	110	-32.68399811	-62.15800095	Argentina
UY000001915	Paso De Los Toros	75	-32.79999924	-56.51699829	Uruguay
AR000087418	Mendoza Aero	704	-32.83300018	-68.78299713	Argentina
ARM00087480	Rosario	26	-32.90399933	-60.78499985	Argentina
ARM00087497	Gualeguaychu	23	-33.00999832	-58.61299896	Argentina
ARM00087416	San Martin	653	-33.08300018	-68.41699982	Argentina
ARM00087453	Rio Cuarto Area De Material	421	-33.08499908	-64.26100159	Argentina
UYM00086500	Treinta Y Tres	46	-33.21699905	-54.38299942	Uruguay
UY000086490	Mercedes	17	-33.25	-58.06700134	Uruguay
ARM00087436	San Luis	710	-33.27299881	-66.35600281	Argentina
UY000002206	Durazno	92	-33.34999847	-56.5	Uruguay
ARM00087448	Villa Reynolds	485	-33.72999954	-65.38700104	Argentina
AR000087534	Laboulaye Aero	137	-34.13299942	-63.36700058	Argentina
UYM00086560	Laguna De Los Patos Intl	21	-34.45600128	-57.77099991	Uruguay
UY000086565	Rocha	18	-34.48300171	-54.29999924	Uruguay
ARM00087548	Junin	80	-34.54600143	-60.93099976	Argentina
ARM00087582	Aeroparque Jorge Newbery	6	-34.55899811	-58.41600037	Argentina
AR000875850	Buenos Aires Observ	25	-34.58300018	-58.48300171	Argentina
ARM00087509	San Rafael	753	-34.58800125	-68.40299988	Argentina
ARM00087576	Ministro Pistarini	20	-34.8219986	-58.5359993	Argentina
UYM00086580	Carrasco Intl	32	-34.83800125	-56.03099823	Uruguay
ARM00087593	La Plata	22	-34.97200012	-57.89500046	Argentina
ARM00087506	Malargue	1430	-35.49399948	-69.5739975	Argentina
ARM00087532	General Pico	140	-35.69599915	-63.75799942	Argentina
AR000875440	Pehuajo Aero	85	-35.86700058	-61.90000153	Argentina
ARM00087563	Las Flores	38	-36.06700134	-59.09999847	Argentina
ARM00087640	Bolivar Aero	94	-36.20000076	-61.06700134	Argentina
ARM00087648	Dolores Airport	9	-36.34999847	-57.73300171	Argentina
AR000087623	Santa Rosa Aero	192	-36.56700134	-64.26599884	Argentina
ARM00087641	Azul Aero	147	-36.83300018	-59.88299942	Argentina
ARM00087645	Tandil	175	-37.23699951	-59.22800064	Argentina
AR000087692	Mar Del Plata Aero	22	-37.93299866	-57.58300018	Argentina
ARM00087688	Tres Arroyos	122	-38.38700104	-60.33000183	Argentina
AR000877500	Bahia Blanca Aero	75	-38.73300171	-62.16699982	Argentina
AR000087715	Neuquen Aero	273	-38.95000076	-68.13300323	Argentina
ARM00087784	San Antonio Oeste Aero	20	-40.78300095	-65.09999847	Argentina
ARM00087791	Gobernador Castello	6	-40.86899948	-63	Argentina
ARM00087765	San Carlos De Bariloche	846	-41.15100098	-71.15799713	Argentina
ARM00087774	Maquinchao	888	-41.25	-68.73300171	Argentina
ARM00087800	El Bolson	345	-41.94300079	-71.53199768	Argentina
AR000087803	Esquel Aero	799	-42.93299866	-71.15000153	Argentina
AR000087828	Trelew Aero	43	-43.20000076	-65.26599884	Argentina
NZM00093781	Christchurch Intl	38	-43.48899841	172.5319977	New Zealand
ASN00094010	Cape Bruny Lighthouse	55	-43.48920059	147.1450043	Australia
ARM00087814	Paso De Indios	460	-43.81700134	-68.88300323	Argentina
NZ000939870	Chatham Islands Aws	49	-43.95000076	-176.5670013	New Zealand
AR000087860	Comodoro Rivadavia	58	-45.78300095	-67.5	Argentina
NZ000093844	Invercargill Airpor	2	-46.41699982	168.3329926	New Zealand
FSM00061997	Alfred Faure (Iles Crozet)	142	-46.43299866	51.84999847	French Southern and Antarctic Lands
ARM00087852	Perito Moreno Arpt	429	-46.51699829	-71.01699829	Argentina
SF000068994	Marion Island	21	-46.88299942	37.86700058	South Africa
ARM00087896	Puerto Deseado	81	-47.73500061	-65.90399933	Argentina
ARM00087880	Gobernador Gregores	356	-48.78300095	-70.16699982	Argentina
ARM00087909	San Julian	58	-49.30699921	-67.8030014	Argentina
FRM00061998	Port-Aux-Francais (Iles Kergu	30	-49.34999847	70.25	French Southern and Antarctic Lands
ARM00087904	El Calafate Aero	204	-50.26699829	-72.05000305	Argentina
ARM00087903	Lago Argentino Arpt	220	-50.33300018	-72.30000305	Argentina
NZM00093929	Enderby Island Aws	40	-50.48300171	166.3000031	New Zealand
AR000087925	Rio Gallegos Aero	19	-51.61700058	-69.28299713	Argentina
FKM00088889	Mount Pleasant	74	-51.82300186	-58.4469986	Falkland Islands (Islas Malvinas)
NZ000939450	Campbell Island Aws	19	-52.54999924	169.1670074	New Zealand
ARM00087934	Rio Grande	20	-53.77799988	-67.74900055	Argentina
SXM00088903	Grytviken	3	-54.28300095	-36.5	South Georgia and the South Sandwich Islands
ASM00094998	Macquarie Island	8	-54.49900055	158.9369965	Australia
ARM00087938	Ushuaia Malvinas Argentinas	22	-54.8429985	-68.29599762	Argentina
AYM00088968	Base Orcadas	8	-60.73300171	-44.73300171	
AYM00089054	Dinamet-Uruguay	17	-62.18299866	-58.84999847	Antarctica
AYM00089050	Bellingshausen Aws	14	-62.18299866	-58.88299942	Antarctica
AYM00089056	Centro Met. Antartico Pdte. E	48	-62.18299866	-58.98300171	Antarctica
AYM00089251	King Sejong	11	-62.21699905	-58.75	Antarctica
AYM00089058	Great Wall	10	-62.21699905	-58.96699905	Antarctica
AYM00089053	Base Jubany	11	-62.23300171	-58.63299942	Antarctica
AYM00089057	Base Arturo Prat	5	-62.5	-59.68299866	Antarctica
AYM00089059	Base Bernardo O'Higgins	10	-63.31700134	-56.68299866	Antarctica
AYM00088963	Base Esperanza	24	-63.40000153	-56.98300171	Antarctica
AYM00089055	Base Marambio	198	-64.23300171	-56.71699905	Antarctica
AYM00089061	Palmer Station	8	-64.76599884	-64.08300018	Antarctica
AYM00089063	Vernadsky	11	-65.25	-64.26699829	Antarctica
AYM00089611	Casey	41	-66.28299713	110.5169983	Antarctica
AYM00089592	Mirnyj	40	-66.55000305	93.01699829	Antarctica
AYM00089642	Dumont D'Urville	43	-66.66699982	140.0169983	Antarctica
AYM00089062	Rothera	33	-67.56700134	-68.11699677	Antarctica
AYM00089564	Mawson	16	-67.59999847	62.86700058	Antarctica
AYM00089542	Molodeznaja	50	-67.66699982	45.84999847	Antarctica
AYM00089066	Base San Martin	7	-68.11699677	-67.13300323	Antarctica
AYM00089571	Davis	13	-68.58300018	77.94999695	Antarctica
AYM00089532	Syowa	21	-69	39.58300018	Antarctica
AYM00089574	Progress	64	-69.38300323	76.38300323	Antarctica
AYM00089657	Leningradskaya	291	-69.5	159.3829956	Antarctica
AYM00089001	Sanae Saf-Base	62	-70.30000305	-2.349999905	Antarctica
AYM00089002	Neumayer	50	-70.66699982	-8.25	Antarctica
AYM00089512	Novolazarevskaja	119	-70.76699829	11.83300018	Antarctica
AYM00089514	Maitri	4294966296	-70.76699829	11.75	Antarctica
AYM00089004	S.A.N.A.E. Aws	817	-71.69999695	-2.799999952	Antarctica
AYM00089504	Troll In Antarktis	1270	-72.01699829	2.382999897	Antarctica
AYM00089662	Base Baia Terra Nova	92	-74.69999695	164.1000061	Antarctica
AYM00089022	Halley	30	-75.44999695	-26.21699905	Antarctica
AYW00087602	Marble Point	48	-77.41670227	163.6829987	Antarctica
AYM00089034	Base Belgrano Ii	256	-77.86699677	-34.61700058	Antarctica
AYM00089664	Mcmurdo Sound Naf	24	-77.88330078	166.7330017	Antarctica
AYM00089606	Vostok	3488	-78.44999695	106.8669968	Antarctica
AYW00090001	Amundsen-Scott	4294966296	-90	0	Antarctica
