station_id	name	altitude	lat	lon
1000005	Visviri	4080	-17.594999313354492	-69.48310089111328
1201005	Rio Caracarani En Humapalca	3908	-17.84280014038086	-69.69940185546875
1001005	Caquena	4400	-18.05419921875	-69.20169830322266
1202009	Pacollo	4185	-18.17690086364746	-69.50920104980469
1202012	Putre (Dcp)	3560	-18.19499969482422	-69.55889892578125
1202010	Putre	3545	-18.199199676513672	-69.560302734375
1020017	Parinacota Ex Endesa	4420	-18.204200744628906	-69.26830291748047
1010010	Chungara Ajata	4585	-18.235300064086914	-69.18329620361328
1300004	Murmuntane	3550	-18.351900100708008	-69.5519027709961
1211006	Lluta	290	-18.41029930114746	-70.16919708251953
1310018	Arica Oficina	20	-18.477500915527344	-70.32080078125
1310021	U. Del Norte	55	-18.483299255371094	-70.2936019897461
1021002	Rio Guallatire En Guallatire	4280	-18.493099212646484	-69.14939880371094
1021007	Guallatire	4240	-18.498300552368164	-69.15470123291016
1310022	El Buitre Aerodromo	110	-18.511899948120117	-70.2842025756836
1310019	Azapa	365	-18.515600204467773	-70.18060302734375
1030003	Chilcaya	4270	-18.793899536132812	-69.08439636230469
1410011	Chaca	350	-18.8169002532959	-70.1500015258789
1410012	Codpa	1870	-18.832199096679688	-69.743896484375
1502006	Cuya	200	-19.1117000579834	-70.12689971923828
1610004	Q. Camia 3 Km. A. Arriba De Tarcavire	3848	-19.118099212646484	-69.24469757080078
1041003	Colchane (T. Isluga)	3700	-19.276399612426758	-68.63780212402344
1730018	Lagunillas (Pampa Lirima)	4020	-19.933300018310547	-68.83689880371094
1050007	Coyacagua	4013	-20.0531005859375	-68.80750274658203
1740002	Cerro Colorado	2510	-20.065000534057617	-69.27030181884766
1700010	Huara En Fuerte Baquedano	1100	-20.130800247192383	-69.74970245361328
1051003	Salar Huasco	3800	-20.276100158691406	-68.88610076904297
1700008	Esmeralda	1115	-20.48419952392578	-69.38140106201172
1080001	Ujina	4300	-20.971399307250977	-68.62750244140625
2000001	Ollague	3700	-21.22330093383789	-68.24939727783203
2020001	Cebollar	3730	-21.531099319458008	-68.3386001586914
2101003	Lequena	3320	-21.65530014038086	-68.66110229492188
2112008	Quillagua	802	-21.66029930114746	-69.53579711914062
2020002	Ascotan	3970	-21.725299835205078	-68.27559661865234
2103008	Parshall N 2	3318	-21.942800521850586	-68.51750183105469
2103009	Ojos San Pedro	3800	-21.970600128173828	-68.31279754638672
2104008	Conchi Embalse	3010	-22.024999618530273	-68.62419891357422
2104009	Conchi Muro Embalse	3000	-22.02669906616211	-68.62079620361328
2103010	Inacaliri	4040	-22.027799606323242	-68.06610107421875
2210002	Tocopilla	150	-22.079700469970703	-70.189697265625
2105016	Linzor	4100	-22.229700088500977	-68.02279663085938
2105015	Turi	3070	-22.240800857543945	-68.28810119628906
2105017	Toconce	3310	-22.259199142456055	-68.17330169677734
2105018	Ayquina	3031	-22.275299072265625	-68.31829833984375
2105020	Salado Embalse	3200	-22.285600662231445	-68.20279693603516
2105021	Caspana	3260	-22.336700439453125	-68.21219635009766
2104010	Chiu-Chiu	2524	-22.337799072265625	-68.63670349121094
2105022	El Tatio	4370	-22.3710994720459	-68.01329803466797
2112009	Coya Sur	1250	-22.39389991760254	-69.62249755859375
2110013	Calama	2300	-22.449399948120117	-68.90440368652344
2700001	Sierra Gorda	1616	-22.88920021057129	-69.3218994140625
2510006	San Pedro De Atacama	2450	-22.90530014038086	-68.20030212402344
2500016	Toconao Experimental	2500	-23.188899993896484	-67.997802734375
2710002	Baquedano	1032	-23.333599090576172	-69.8396987915039
2240000	Liceo CientÍFico Humanista La Chimba	0	-23.554399490356445	-70.39330291748047
2500019	Socaire	3251	-23.58690071105957	-67.89250183105469
2710003	Antofagasta	50	-23.59749984741211	-70.38670349121094
2500020	Peine	2460	-23.684200286865234	-68.05809783935547
2660001	Monturaqui	3430	-24.341400146484375	-68.435302734375
2942001	Aguas Verdes	1560	-25.399999618530273	-69.96330261230469
2943002	Tal-Tal (Dcp)	0	-25.40329933166504	-70.47969818115234
3210001	Las Vegas	2250	-26.6781005859375	-69.66560363769531
3450004	Copiapo	385	-27.377199172973633	-70.33080291748047
3430007	Los Loros	940	-27.83169937133789	-70.11190032958984
3430006	Lautaro Embalse	1110	-27.978300094604492	-70.00330352783203
